cycle,range_bin,doppler_bin,output_hex
1082515000,8,21,ffec00f5
1082525000,8,22,001d0093
1082535000,8,23,ff66fd43
1082545000,8,24,0175042f
1082555000,8,25,ffe2fdb5
1082565000,8,26,ffb700dd
1082575000,8,27,ffdafe9f
1082585000,8,28,00550198
1082595000,8,29,ffcdfe9b
1082605000,8,30,01050175
1082615000,8,31,fd83fe6f
1087695000,9,0,0202ffd4
1087705000,9,1,feb8ffee
1087715000,9,2,feda0030
1087725000,9,3,039bff87
1087735000,9,4,fd7000e5
1087745000,9,5,ffd6ff7a
1087755000,9,6,ff2b0101
1087765000,9,7,02e3ffb0
1087775000,9,8,fde5fe52
1087785000,9,9,019a0208
1087795000,9,10,feaefead
1087805000,9,11,ff5c0120
1087815000,9,12,01d9fec7
1087825000,9,13,fe36006e
1087835000,9,14,0075001c
1087845000,9,15,016c002a
1087855000,9,16,fe6e003a
1087865000,9,17,0292ff7e
1087875000,9,18,fc8800bc
1087885000,9,19,016dffc7
1087895000,9,20,009cffa3
1087905000,9,21,fe62ffc4
1087915000,9,22,01b5ffcd
1087925000,9,23,fe8300a2
1087935000,9,24,015b0080
1087945000,9,25,0048ff18
1087955000,9,26,ff88016b
1087965000,9,27,ff24fdf6
1087975000,9,28,02cb01a1
1087985000,9,29,fd06ff00
1087995000,9,30,0123ff92
1088005000,9,31,fe960098
1093085000,10,0,02f6feee
1093095000,10,1,ffb100cc
1093105000,10,2,fed80091
1093115000,10,3,0126fec2
1093125000,10,4,fef80071
1093135000,10,5,01d70194
1093145000,10,6,fe7dfea7
1093155000,10,7,011c001b
1093165000,10,8,fecdff98
1093175000,10,9,00a7015e
1093185000,10,10,ff8efdcf
1093195000,10,11,ff1a0294
1093205000,10,12,02c1fd8c
1093215000,10,13,fd940127
1093225000,10,14,01faff55
1093235000,10,15,ff830070
1093245000,10,16,feb40036
1093255000,10,17,014900ee
1093265000,10,18,fde2fe97
1093275000,10,19,01acffae
1093285000,10,20,00580181
1093295000,10,21,ff6dfed4
1093305000,10,22,0059ffb5
1093315000,10,23,ff0effed
1093325000,10,24,ff7902dc
1093335000,10,25,026bfce8
1093345000,10,26,feac01d9
1093355000,10,27,ffe4fe28
1093365000,10,28,01d7024a
1093375000,10,29,fdfcfdb1
1093385000,10,30,016400ff
1093395000,10,31,fca3003c
1098475000,11,0,0288ff37
1098485000,11,1,fef200c3
1098495000,11,2,0020fef0
